Name,Link,Price,Image,Field4
Basket Ont Peaches,https://www.iga.net/en/product/peachesbasket-ont/00000_000000000000004405,"
                                            $0.30 / 100 ML
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004405.jpg,
 Cantaloupe,https://www.iga.net/en/product/cantaloupe/00000_000000000000004050,"
                                            $5.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004050.jpg,
Clamshell 1 lb Strawberries,https://www.iga.net/en/product/strawberriesclamshell-1-lb/00000_000000003338320027,"
                                            $1.32 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338320027.jpg,
 Clementines,https://www.iga.net/en/product/clementines/00000_000000000000004450,"
                                            $0.77 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004450.jpg,
Cortland Apple,https://www.iga.net/en/product/applecortland/00000_000000006882013310,"
                                            $0.35 / 100 G
                                        ",https://az826390.vo.msecnd.net/cdn/media/data/default/new-product-small.ashx,
Cortland Small Apples,https://www.iga.net/en/product/applescortland-small/00000_000000000000004104,"
                                            $0.51 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004104.jpg,
Cripps Pink 100's Apples,https://www.iga.net/en/product/applescripps-pink-100-s/00000_000000000000004128,"
                                            $0.62 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004128.jpg,
 D'Anjou Pears,https://www.iga.net/en/product/d-anjou-pears/00000_000000000000004416,"
                                            $0.48 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004416.jpg,
 D'Anjou Red Pears,https://www.iga.net/en/product/d-anjou-red-pears/00000_000000000000004417,"
                                            $0.59 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004417.jpg,
Empire Small East Apples,https://www.iga.net/en/product/applesempire-small-east/00000_000000000000004124,"
                                            $0.51 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004124.jpg,
Extra Large Avocados,https://www.iga.net/en/product/avocadosextra-large/00000_000000000000004770,"
                                            $2.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004770.jpg,
For Juice 100-125 Oranges,https://www.iga.net/en/product/orangesfor-juice-100-125/00000_000000000000004014,"
                                            $0.69 / EA
                                        ",https://az826390.vo.msecnd.net/cdn/media/data/default/new-product-small.ashx,
 Fragrant Pears,https://www.iga.net/en/product/fragrant-pears/00000_000000000000004960,"
                                            $0.77 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004960.jpg,
 Fuji Apples,https://www.iga.net/en/product/fuji-apples/00000_000000000000004129,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004129.jpg,
Fuji Organic Apples,https://www.iga.net/en/product/applesfuji-organic/00000_000000000000094129,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094129.jpg,
Gala Apples,https://www.iga.net/en/product/applesgala/00000_000000068657801402,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0068657801402.jpg,
Golden Delicious Organic Apples,https://www.iga.net/en/product/applesgolden-delicious-organic/00000_000000000000094021,"
                                            $0.51 / 100 G
                                        ",https://az826390.vo.msecnd.net/cdn/media/data/default/new-product-small.ashx,
Golden Delicious West 100 Apples,https://www.iga.net/en/product/applesgolden-delicious-west-100/00000_000000000000004021,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004021.jpg,
